ImageId,EncodedPixels
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,23362 4 23879 8 24397 10 24914 13 25432 16 25951 17 26470 18 26989 19 27508 20 28027 20 28546 20 29065 21 29584 21 30103 21 30622 22 31141 22 31660 22 32179 22 32698 22 33219 20 33739 19 34258 19 34778 17 35297 17 35817 15 36336 14 36856 12 37377 9 37899 4
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,108997 4 109515 7 110033 10 110552 11 111070 13 111589 14 112108 15 112627 15 113146 16 113665 16 114184 17 114703 17 115222 17 115741 18 116260 19 116779 19 117298 19 117817 19 118335 20 118854 20 119371 22 119890 21 120409 20 120928 20 121447 19 121966 6 121974 9 122485 5 122497 2 123004 5 123523 4 124042 4 124561 4 125080 4 125599 4 126118 3 126637 3
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,45703 5 46220 9 46738 12 47256 14 47775 15 48294 16 48812 18 49331 18 49850 19 50369 19 50888 20 51407 20 51926 20 52445 20 52964 21 53483 21 54003 20 54522 20 55041 20 55560 20 56079 19 56598 19 57117 19 57636 19 58155 18 58675 16 59194 16 59714 14 60234 12 60754 10 61274 8 61795 4
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,71677 6 72193 11 72710 15 73229 17 73746 20 74265 22 74784 23 75303 24 75822 24 76341 25 76861 25 77380 25 77900 25 78419 26 78939 25 79459 24 79979 23 80500 21 81020 19 81542 15 82061 15 82579 15 83096 16 83612 19 84130 22 84649 24 85168 26 85686 28 86205 29 86724 30 87244 30 87763 30 88282 31 88802 30 89322 29 89842 28 90362 28 90883 26 91404 24 91926 20 92448 17 92969 16 93489 16 93971 8 94009 17 94489 12 94527 19 95006 17 95045 21 95524 19 95564 23 96043 20 96083 24 96561 21 96602 25 97080 22 97112 6 97121 26 97599 23 97629 8 97641 26 98118 23 98146 11 98161 26 98637 24 98664 12 98681 25 99156 24 99182 14 99201 25 99676 42 99721 25 100195 43 100241 24 100714 44 100759 1 100761 23 101234 45 101280 23 101753 45 101801 21 102274 44 102321 20 102794 43 102841 19 103314 42 103361 18 103834 41 103881 16 104352 18 104374 19 104401 15 104871 17 104896 16 104921 13 105388 19 105417 13 105441 12 105906 19 105937 11 105962 8 106425 18 106458 8 106482 2 106485 3 106944 18 107004 1 107462 20 107521 4 107981 20 108038 7 108500 21 108555 10 109019 22 109072 14 109538 23 109591 14 110058 22 110108 17 110576 23 110627 18 111096 22 111146 18 111615 23 111665 18 112135 22 112184 18 112654 22 112703 18 113173 22 113222 19 113692 22 113742 18 114213 19 114261 18 114733 18 114781 16 115252 18 115301 15 115772 17 115820 14 116292 14 116341 11 116812 13 116862 8 117333 10 117853 8 118375 3
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,126172 7 126688 12 127206 15 127724 17 128243 18 128761 21 129280 21 129799 23 130318 24 130837 23
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,22379 7 22896 14 23414 17 23932 19 24450 22 24969 23 25488 25 26007 25 26526 26 27045 27 27565 27 28084 27 28603 27 29122 27 29642 26 30162 25 30681 24 31202 22 31723 19 32243 17 32764 13
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,56126 7 56644 10 57162 13 57680 15 58199 16 58717 19 59236 20 59755 20 60274 21 60792 23 61312 22 61831 23 62350 24 62869 24 63388 24 63908 24 64427 24 64946 24 65466 22 65986 21 66506 20 67026 19 67546 18 68066 17 68587 14 69108 9 69630 4
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,74 69 593 70 1114 67 1634 62 1697 1 2154 61 2216 1 2674 58 2733 1 2735 1 3192 61 3711 61 4229 62 4747 65 5265 66 5332 1 5336 1 5784 72 5857 1 6302 75 6821 75 7340 75 7858 76 8377 76 8896 76 9415 78 9934 15 9952 60 10013 1 10453 14 10473 59 10972 13 10994 58 11491 13 11513 58 12011 11 12033 57 12530 11 12553 56 13050 9 13072 57 13570 7 13592 57 14112 58 14632 58 15152 58 15672 58 16192 58 16711 58 17231 57 17751 57 18270 58 18790 58 19310 58 19829 58 20350 57 20869 57 21390 55 21910 54 22430 54 22950 53 23470 52 23990 52 24510 51 25030 51 25551 50 26071 50 26590 51 27110 51 27630 51 28150 50 28669 52 29189 52 29709 52 30228 53 30748 52 31268 52 31788 51 32308 51 32828 51 33348 50 33868 50 34388 51 34907 52 35427 52 35947 52 36466 52 36987 50 37506 51 38026 50 38546 50 39067 49 39588 49 40108 49 40628 49 41148 49 41668 49 42188 48 42708 47 43228 47 43748 46 44267 46 44786 47 45306 46 45826 46 46345 47 46864 48 47384 48 47903 48 48422 49 48942 48 49462 48 49982 48 50502 47 51008 11 51020 49 51526 63 52044 64 52562 67 53081 67 53600 69 54119 69 54638 70 55157 71 55676 72 56196 72 56716 17 56737 51 57236 15 57256 52 57776 52 58296 54 58815 62 59335 62 59854 62 60374 62 60893 63 61413 62 61932 63 62452 62 62971 62 63491 61 64010 61 64530 60 65049 60 65569 59 66088 59 66608 58 67127 58 67647 57 68167 56 68686 56 69206 55 69724 56 70244 55 70763 56 71283 55 71803 56 72323 56 72842 57 73362 57 73882 57 74401 57 74921 57 75442 55 75962 55 76482 54 77003 52 77523 51 78042 51 78562 51 79082 50 79601 51 80121 50 80640 50 81160 49 81679 50 82199 49 82718 49 83238 49 83758 48 84277 49 84797 49 85316 49 85836 49 86355 50 86875 49 87395 49 87914 50 88434 50 88953 50 89473 50 89992 51 90512 50 91032 50 91551 50 92071 50 92590 50 93110 50 93629 51 94149 51 94668 51 95187 52 95707 51 96226 52 96745 52 97264 52 97783 53 98302 54 98822 53 99341 54 99860 54 100379 55 100899 54 101418 55 101938 54 102457 55 102977 54 103496 55 104016 55 104535 55 105055 54 105574 55 106094 55 106613 55 107133 55 107652 56 108172 55 108692 54 109211 55 109731 55 110251 54 110771 53 111290 54 111810 54 112329 54 112849 53 113368 54 113887 55 114407 54 114926 55 115446 54 115966 54 116485 54 117005 54 117525 54 118045 54 118564 55 119084 55 119604 56 120123 56 120643 56 121162 57 121681 57 122201 57 122720 57 123240 57 123760 56 124279 56 124799 55 125318 56 125838 55 126358 54 126877 54 127397 54 127916 54 128436 53 128955 53 129475 53 129994 54 130513 56 131033 56
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,116361 5 116875 12 117392 16 117909 19 118428 21 118947 25 119465 27 119983 29 120502 29 121021 29 121539 31 122058 31 122577 32 123095 33 123614 33 124133 33 124652 33 125171 34 125690 34 126209 34 126728 34 127248 10 127260 20 127768 7 127779 20 128290 2 128298 20 128817 19 129336 19 129855 19 130375 17 130895 16
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,41119 6 41637 8 42155 11 42673 12 43191 14 43709 15 44228 15 44745 18 45264 18 45783 18 46301 19 46820 19 47339 20 47858 20 48376 20 48895 20 49414 20 49933 20 50452 20 50971 19 51489 20 52008 19 52527 19 53045 19 53564 18 54084 16 54603 15 55122 13 55642 11 56163 7
